symbol,symbolName,fullName,shortJobTitle,transactionType,amount,reportedPrice,usdValue,eodHolding,transactionDate,symbolCode,hasOptions,symbolType
THC,Tenet Healthcare Corp,R Scott Ramsey,PAO,Sell,13322,205.1073,2732440,0.0,2025-11-06,STK,Yes,1
CDNS,Cadence Design Sys,Chin-Chi Teng,GM,Sell,3400,324.94,1104796,123381.0,2025-11-06,STK,Yes,1
VSTD,Vestand Inc,James Chae,N/A,Sell,109427,0.5597,61247,2299371.0,2025-11-06,STK,No,1
KTOS,Kratos Defense & Security Inc,David M Carter,Div. Pres.,Sell,4000,73.6395,294558,89809.0,2025-11-06,STK,Yes,1
U,Unity Software Inc,Jarrod Yahes,CFO,Sell,15000,41.1496,617244,623504.0,2025-11-06,STK,Yes,1
MEC,Mayville Engineering Company,Craig D Nichols,Ops,Award,1134,0.0,18927,1134.0,2025-11-06,STK,Yes,1
ENSG,The Ensign Group IN,Dr John O Agwunobi,N/A,Sell,246,188.87,46462,8879.0,2025-11-06,STK,Yes,1
EXPI,eXp World Holdings Inc,Leonardo Pareja,Subs CEO,Award,9371,0.0,90899,34684.0,2025-11-06,STK,Yes,1
IHT,Innsuites Hospitality Trust,James F Wirth,Chair & CEO,Sell,22500,1.4851,33415,6091796.0,2025-11-06,STK,No,1
TREX,Trex Company,Amy M Fernandez,CLO & Sec.,Award,29198,0.0,932000,52151.0,2025-11-06,STK,Yes,1
TEAM,Atlassian Corp,Michael Cannon-Brookes,CEO,Sell,7665,155.8814,1194831,283605.0,2025-11-06,STK,Yes,1
PEGA,Pegasystems Inc,Alan Trefler,Chair & CEO,Sell,90000,59.3528,5341752,77375183.0,2025-11-06,STK,Yes,1
CRL,Charles River Laboratories Intl,Michael Gunnar Knell,Int CFO & CAO,Award,2926,0.0,499995,13460.0,2025-11-06,STK,Yes,1
NCDL,Nuveen Churchill Direct Lending Corp,Kenneth J Kencel,Chair & CEO,Buy,20000,14.22,284400,103058.0,2025-11-06,STK,No,1
EVOK,Evoke Pharma,Roger M Klein,N/A,Sell,9000,10.6539,95885,154000.0,2025-11-06,STK,No,1
IONS,Ionis Pharmaceuticals,Brian Birchler,Dev.,Sell,8000,76.1724,609379,48826.0,2025-11-06,STK,Yes,1
TEAM,Atlassian Corp,Scott Farquhar,N/A,Sell,7665,155.8817,1194834,283605.0,2025-11-06,STK,Yes,1
NTRS,Northern Trust Corp,Steven Fradkin,V.Chair,Sell,9376,128.0,1200128,250109.0,2025-11-06,STK,Yes,1
SYK,Stryker Corp,Ronda E Stryker,N/A,Sell,520000,355.0118,184606136,16319726.0,2025-11-06,STK,Yes,1
DBD,Diebold Nixdorf Incorporated,American Shareholder,N/A,Sell,251726,63.1903,15906641,5716672.0,2025-11-06,STK,Yes,1
YELP,Yelp Inc,Joseph (Jed) R Nachman,COO,Sell,7000,32.1552,225087,212668.0,2025-11-06,STK,Yes,1
PMTS,CPI Card Group,Sanford H Riley,Chair,Buy,10000,14.1999,141999,51457.0,2025-11-06,STK,No,1
ZOMDF,Zomedica Corp,Russell Kevin Klass,Sales,Buy,253007,0.08,20240,5509101.0,2025-11-06,STK:OTC,No,1
EBAY,Ebay Inc,Jamie Iannone,CEO,Sell,14442,81.0662,1170758,446617.0,2025-11-06,STK,Yes,1
BWB,Bridgewater Bancshares Inc,Lisa M Salazar,COO,Sell,2175,16.72,36367,32091.0,2025-11-06,STK,Yes,1
COF,Capital One Financial Corp,Neal Blinde,Div. Exec,Sell,43200,221.83,9583056,73020.0,2025-11-06,STK,Yes,1
TBLA,Taboola.com Ltd,Eldad Maniv,COO,Sell,424861,3.7793,1605677,10392460.0,2025-11-06,STK,Yes,1
CUBI,Customers Bancorp,Jay S Sidhu,Chair & CEO,Sell,23435,67.7579,1587907,1524234.0,2025-11-06,STK,Yes,1
RDNW,Ridenow Group Inc,Joshua J Barsetti,CFO & EVP,Award,182000,0.0,746200,182000.0,2025-11-06,STK,Yes,1
NTCT,Netscout Systems,John Downing,Sales & Ops,Sell,1238,30.0,37140,135494.0,2025-11-06,STK,Yes,1
MORN,Morningstar Inc,Joseph D Mansueto,Chair,Sell,11343,211.2436,2396136,14773431.0,2025-11-06,STK,Yes,1
COLL,Collegium Pharma,Colleen Tupper,CFO,Sell,30000,40.5251,1215753,126667.0,2025-11-06,STK,Yes,1
CNP,Centerpoint Energy Inc,Phillip R Smith,Chair,Sell,6200,38.83,240746,65577.0,2025-11-06,STK,Yes,1
TREX,Trex Company,Prithvi Gandhi,CFO & PAO,Award,15664,0.0,499995,15664.0,2025-11-06,STK,Yes,1
NPO,Enpro Inc,Eric A Vaillancourt,CEO,Sell,2272,227.0,515744,41036.0,2025-11-06,STK,Yes,1
JCI,Johnson Controls Intl,Lei Zhang Schlitz,Div. VP.,Sell,10500,122.03,1281315,115220.0,2025-11-06,STK,Yes,1
NBTB,NBT Bancorp Inc,Timothy E Delaney,N/A,Buy,10000,40.975,409750,51894.0,2025-11-06,STK,Yes,1
SXC,Suncoke Energy Inc,Ralph M Della Ratta,N/A,Buy,7288,6.86,49995,86293.0,2025-11-06,STK,Yes,1
RRBI,Red River Bancshares Inc,Teddy Ray Price,Chair,Buy,1046,65.763,68789,446586.0,2025-11-06,STK,No,1
HCC,Warrior Met Coal Inc,Walter J Scheller,CEO,Sell,18966,75.0,1422450,394183.0,2025-11-06,STK,Yes,1
ENTG,Entegris Inc,Joseph Colella,Gen Cou,Sell,3577,88.41,316242,34364.0,2025-11-06,STK,Yes,1
MGYR,Magyar Bancorp Inc,Maureen Ruane,N/A,Award,1464,0.0,24112,5154.0,2025-11-06,STK,No,1
DGICA,Donegal Group Cl A,American Shareholder,N/A,Buy,16000,19.1176,305882,13678579.0,2025-11-06,STK,Yes,1
YUM,Yum! Brands,Scott Mezvinsky,Div. CEO,Sell,1755,148.81,261161,1487.0,2025-11-06,STK,Yes,1
CMPR,Cimpress N.V. Ord,Sean E. Quinn,CFO,Buy,4000,62.7936,251174,36484.0,2025-11-06,STK,Yes,1
PARR,Par Pacific Holdings Inc,Richard Creamer,Div. EVP,Sell,15848,41.22,653255,54654.0,2025-11-06,STK,Yes,1
AER,Aercap Holdings N.V.,Peter Anderson,Chf Com Off.,Sell,197965,133.63,26454062,2021378.1586314153,2025-11-06,STK,Yes,1
TTAN,Servicetitan Inc Cl A,Ara Mahdessian,Chair & CEO,Sell,60805,91.4751,5562143,0.0,2025-11-06,STK,Yes,1
GTE,Gran Tierra Energy Inc,American Shareholder,N/A,Buy,648000,3.9375,2551500,5745688.0,2025-11-06,STK,Yes,1
HOWL,Werewolf Therapeutics Inc,Dr Luke Evnin,Chair,Sell,155885,1.2178,189837,3787474.0,2025-11-06,STK,Yes,1
HOWL,Werewolf Therapeutics Inc,Ansbert K Gadicke,N/A,Sell,242890,1.2178,295792,5904720.0,2025-11-06,STK,Yes,1
SCKT,Socket Mobile,Charlie Bass,N/A,Buy,10000,1.0596,10596,1623151.0,2025-11-06,STK,No,1
SWK,Stanley Black & Decker Inc,Janet Link,Gen Cou & Sec,Sell,11766,69.0773,812764,0.0,2025-11-06,STK,Yes,1
VTR,Ventas Inc,Peter J Bulgarelli,Div. EVP,Sell,4960,75.0516,372255,111528.0,2025-11-06,STK,Yes,1
BLKB,Blackbaud Inc,Michael P Gianoni,CEO,Sell,15000,60.1267,901901,372985.0,2025-11-06,STK,Yes,1
RCKY,Rocky Brands Inc,Curtis A Loveland,Co Sec,Sell,9556,31.5909,301883,95454.0,2025-11-06,STK,No,1
AXTI,Axt Inc,Gary L Fischer,CFO,Sell,22675,8.8722,201177,463294.0,2025-11-06,STK,Yes,1
ETSY,Etsy Inc,Bradley Minor,CMO,Sell,1986,57.81,114810,7373.0,2025-11-06,STK,Yes,1
NCLH,Norwegian Cruise Ord,Jason M Montague,Chf Off.,Buy,13400,18.8075,252020,65791.0,2025-11-06,STK,Yes,1
MTDR,Matador Resources Company,Shelley F Appel,N/A,Buy,2880,37.7597,108748,1747442.0,2025-11-06,STK,Yes,1
CBAN,Colony Bankcorp Inc,Edward G Canup,CBO,Buy,1000,16.075,16075,26542.0,2025-11-06,STK,Yes,1
NCLH,Norwegian Cruise Ord,Harry Sommer,CEO,Buy,25000,18.5173,462932,720728.0,2025-11-06,STK,Yes,1
NCLH,Norwegian Cruise Ord,Mark Kempa,CFO,Buy,10635,18.5285,197050,369352.0,2025-11-06,STK,Yes,1
BSX,Boston Scientific Corp,Ellen M Zane,N/A,Sell,12891,98.2839,1266977,24134.0,2025-11-06,STK,Yes,1
SYBT,Stock Yards Bancorp,David L. Hardy,N/A,Buy,2000,66.53,133060,2083.0,2025-11-06,STK,Yes,1
OHI,Omega Healthcare Investors,Vikas Gupta,Chf Invest Off.,Buy,11500,42.9668,494118,13773.0,2025-11-06,STK,Yes,1
STLD,Steel Dynamics Inc,Jennifer L Hamann,N/A,Award,122,0.0,18803,4365.0,2025-11-06,STK,Yes,1
STLD,Steel Dynamics Inc,Richard P Teets Jr,N/A,Award,244,0.0,37608,5145998.0,2025-11-06,STK,Yes,1
STLD,Steel Dynamics Inc,Sheree L Bargabos,N/A,Award,244,0.0,37608,25878.0,2025-11-06,STK,Yes,1
CAT,Caterpillar Inc,David W Maclennan,N/A,Buy,300,568.86,170658,7947.0,2025-11-06,STK,Yes,1
BKV,Bkv Corp,Lindsay B Larrick,CLO,Sell,29187,25.0005,729690,137154.0,2025-11-06,STK,Yes,1
GBCI,Glacier Bancorp Inc,Ryan Thomas Screnar,Chf Adm Off,Buy,979,41.8751,40995,13857.0,2025-11-06,STK,Yes,1
GBCI,Glacier Bancorp Inc,Lee Kenneth Groom,EVP,Buy,2425,41.26,100056,14343.0,2025-11-06,STK,Yes,1
ALV,Autoliv Inc,Petra Albuschus,Div. EVP,Award,328,0.0,39820,647.0,2025-11-06,STK,Yes,1
SOFI,Sofi Technologies Inc,Christopher Lapointe,CFO,Award,276963,0.0,8328278,1637029.0,2025-11-05,STK,Yes,1
SOFI,Sofi Technologies Inc,Anthony Noto,CEO,Award,2142859,0.0,64435770,11347906.0,2025-11-05,STK,Yes,1
AGRI,Agriforce Growing Systems Ltd,Daniel Mendes,N/A,Award,30612,0.0,85713,30612.0,2025-11-05,STK,No,1
ATLX,Atlas Lithium Corp,Marc Fogassa,Chair & CEO,Sell,27272,4.4573,121560,4740348.0,2025-11-05,STK,Yes,1
QS,Quantumscape Corp,Jeffrey B Straubel,N/A,Sell,27106,16.9269,458821,293934.0,2025-11-05,STK,Yes,1
BE,Bloom Energy Corp Cl A,Maciej Kurzymski,Int CFO & CAO,Sell,13105,144.09,1888300,93269.0,2025-11-05,STK,Yes,1
BE,Bloom Energy Corp Cl A,Eddy Zervigon,N/A,Sell,20000,141.28,2825600,67161.0,2025-11-05,STK,Yes,1
APGE,Apogee Therapeutics Inc,Carl Dambkowski,Chf Med Off.,Sell,2725,55.0675,150059,282008.0,2025-11-05,STK,Yes,1
THC,Tenet Healthcare Corp,Tammy Romo,N/A,Sell,645,205.2,132355,34866.0,2025-11-05,STK,Yes,1
CRWV,Coreweave Inc Cl A,Michael N Intrator,Chair & CEO,Sell,82455,113.9717,9397537,6991055.0,2025-11-05,STK,Yes,1
PSA-L,Public Storage [Psa/Pl],American Shareholder,N/A,Sell,3499,22.19,77643,766661.0,2025-11-05,UIT,No,11
HIT,Health IN Tech Inc Cl A,Michael David Clarkson,Chf Invest Off.,Award,8000,0.0,22800,8000.0,2025-11-05,STK,No,1
EQB-PR-C.TO,Equitable Group Inc Pref Ser 3,Tilman J Fertitta,N/A,Sell,7500,6.5131,48848,2500.0,2025-11-05,STKINT:CA,No,6
PWR,Quanta Services,Worthing F Jackman,N/A,Sell,6349,450.45,2859907,1930.0,2025-11-05,STK,Yes,1
CRWV,Coreweave Inc Cl A,Chen Goldberg,Eng.,Award,37500,0.0,4290750,37084.0,2025-11-05,STK,Yes,1
RPRX,Royalty Pharma Plc Cl A,Marshall Urist,EVP,Award,4626,0.0,186982,109569.0,2025-11-05,STK,Yes,1
DKL,Delek Logistics Partners LP,Reuven Spiegel,Div. Pres,Sell,250,45.0,11250,24462.0,2025-11-05,STK,Yes,1
IAC,Iac Inc,Barry Diller,Chair,Award,438757,0.0,14483369,801945.0,2025-11-05,STK,Yes,1
TSCO,Tractor Supply Company,Harry (Hal) A Lawton,CEO,Award,160192,0.0,8637553,693643.0,2025-11-05,STK,Yes,1
PLPC,Preformed Line Prd,John M Hofstetter,Div. EVP,Sell,1110,211.85,235154,8244.0,2025-11-05,STK,No,1
PLPC,Preformed Line Prd,Dennis F Mckenna,CEO,Sell,1987,211.85,420947,29660.0,2025-11-05,STK,No,1
ENSG,The Ensign Group IN,Marivic S Uychiat,N/A,Award,1600,0.0,303888,14563.0,2025-11-05,STK,Yes,1
EXPI,eXp World Holdings Inc,Jesse Hill,CFO,Award,1878,0.0,18874,2874.0,2025-11-05,STK,Yes,1
W,Wayfair Inc,Fiona Tan,CTO,Sell,6347,100.54,638127,214769.0,2025-11-05,STK,Yes,1
EKSO,Ekso Bionics Holdings Inc,Jerome Wong,CFO & Co Sec,Award,19500,0.0,102376,40173.0,2025-11-05,STK,Yes,1
EKSO,Ekso Bionics Holdings Inc,Jason C Jones,COO,Award,15000,0.0,78750,40075.0,2025-11-05,STK,Yes,1
EKSO,Ekso Bionics Holdings Inc,Scott Davis,CEO,Award,80000,0.0,420001,102465.0,2025-11-05,STK,Yes,1
CDNS,Cadence Design Sys,Anirudh Devgan,CEO,Sell,5550,327.7981,1819280,195844.0,2025-11-05,STK,Yes,1
EGP,Eastgroup Properties,Richard Reid Dunbar,EVP,Sell,2000,175.0,350000,20630.0,2025-11-05,STK,No,1
GOOG,Alphabet Cl C,Sundar Pichai,CEO,Sell,32500,283.4763,9212980,2337119.0,2025-11-05,STK,Yes,1
RBLX,Roblox Corp Cl A,Mark Reinstra,CLO & Co Sec,Sell,2401,104.6,251144,607968.0,2025-11-05,STK,Yes,1
AIP,Arteris Inc,Laurent R Moll,COO,Sell,32775,15.4233,505499,311110.0,2025-11-05,STK,Yes,1
BGSF,Bgsf Inc,Donna Carroll,N/A,Award,5482,0.0,18749,35486.0,2025-11-05,STK,Yes,1
EP,Empire Petroleum Corp,Phil E. Mulacek,Chair,Buy,187084,3.77,705307,8022796.0,2025-11-05,STK,No,1
WCC,Wesco International,Matthew S Kulasa,CAO,Sell,790,253.18,200012,3320.0,2025-11-05,STK,Yes,1
BGSF,Bgsf Inc,Douglas E Hailey,N/A,Award,5482,0.0,18749,218224.0,2025-11-05,STK,Yes,1
BGSF,Bgsf Inc,Paul A Seid,N/A,Award,5482,0.0,18749,141812.0,2025-11-05,STK,Yes,1
EP,Empire Petroleum Corp,Michael R Morrisett,CEO & CFO,Sell,187084,3.77,705307,346088.0,2025-11-05,STK,No,1
MEDP,Medpace Holdings Inc,Jesse J Geiger,Pres.,Sell,21503,595.66,12808476,15000.0,2025-11-05,STK,Yes,1
ESI,Element Solutions Inc,Ian G Handley Ashken,N/A,Sell,292000,27.0,7884000,306880.0,2025-11-05,STK,Yes,1
RPRX,Royalty Pharma Plc Cl A,Christopher Hite,V.Chair,Award,6168,0.0,249311,728510.0,2025-11-05,STK,Yes,1
RPRX,Royalty Pharma Plc Cl A,George W Lloyd,CLO,Award,6168,0.0,249311,1135341.0,2025-11-05,STK,Yes,1
KOP,Koppers Holdings Inc,Laura Posadas,N/A,Award,2240,0.0,62832,2240.0,2025-11-05,STK,Yes,1
IEX,Idex Corp,Carl R Christenson,N/A,Buy,600,169.4112,101646,6351.0,2025-11-05,STK,Yes,1
BWB,Bridgewater Bancshares Inc,Jerry J Baack,Chair & CEO,Sell,15561,16.5808,258014,1192361.0,2025-11-05,STK,Yes,1
SKYQ,Sky Quarry Inc,Marcus G Laun,Pre./Int. CEO,Award,200000,0.0,79820,1492978.0,2025-11-05,STK,No,1
MCS,Marcus Corp,David John Marcus,N/A,Award,911,0.0,14038,100911.0,2025-11-05,STK,Yes,1
KHC,Kraft Heinz Company,Flavio Torres,EVP & Chief Supp,Award,31069,0.0,750005,282414.0,2025-11-05,STK,Yes,1
WEAV,Weave Communications Inc,Tyler Newton,N/A,Sell,50993,6.68,340634,370242.0,2025-11-05,STK,Yes,1
COCO,The Vita Coco Company Inc,Ira Liran,N/A,Sell,50000,41.4058,2070290,1200920.0,2025-11-05,STK,Yes,1
RPRX,Royalty Pharma Plc Cl A,Terrance P Coyne,CFO,Award,6168,0.0,249311,898900.0,2025-11-05,STK,Yes,1
RCKY,Rocky Brands Inc,Byron Wortham,Div. Sr.VP,Sell,4200,29.8983,125574,0.0,2025-11-05,STK,No,1
LQDA,Liquidia Corp,Rajeev Saggar,Chf Med Off.,Sell,71381,27.0,1927287,176549.0,2025-11-05,STK,Yes,1
VCYT,Veracyte Inc,Evan Jones,N/A,Sell,13196,45.0571,594573,30468.0,2025-11-05,STK,Yes,1
EXP,Eagle Materials Inc,David E Rush,N/A,Buy,1000,208.08,208080,4173.0,2025-11-05,STK,Yes,1
LPLA,Lpl Financial Holdings,Greg Gates,CTO,Sell,1500,376.4315,564648,15370.0,2025-11-05,STK,Yes,1
SKYQ,Sky Quarry Inc,Todd Mitchell Palin,N/A,Award,150000,0.0,59865,233334.0,2025-11-05,STK,No,1
SKYQ,Sky Quarry Inc,Leo B Womack,N/A,Award,150000,0.0,59865,233334.0,2025-11-05,STK,No,1
HRB,H&R Block,Matt Winter,N/A,Award,3927,0.0,198628,59083.0,2025-11-05,STK,Yes,1
HRB,H&R Block,Victoria J Reich,N/A,Award,3927,0.0,198628,120846.0,2025-11-05,STK,Yes,1
HRB,H&R Block,Mia Mends,N/A,Award,3927,0.0,198628,28428.0,2025-11-05,STK,Yes,1
ITW,Illinois Tool Works Inc,Pamela B Strobel,N/A,Sell,1521,245.25,373025,38215.0,2025-11-05,STK,Yes,1
SBCF,Seacoast Banking Corp,James C Stallings III,CCO,Sell,3245,30.87,100173,15603.0,2025-11-05,STK,Yes,1
HRB,H&R Block,Richard A Johnson,Chair,Award,10209,0.0,516371,91277.0,2025-11-05,STK,Yes,1
HRB,H&R Block,Anuradha Gupta,N/A,Award,3927,0.0,198628,43280.0,2025-11-05,STK,Yes,1
HRB,H&R Block,Robert A Gerard,N/A,Award,3927,0.0,198628,337262.0,2025-11-05,STK,Yes,1
HRB,H&R Block,Sean H Cohan,N/A,Award,3927,0.0,198628,28428.0,2025-11-05,STK,Yes,1
FLYW,Flywire Corp Voting,Peter Butterfield,Gen Cou & CCO,Sell,1000,15.0,15000,393522.0,2025-11-05,STK,Yes,1
FLOC,Flowco Holdings Inc Cl A,Chad Roberts,Div. EVP,Sell,55173,18.2636,1007658,332327.0,2025-11-05,STK,No,1
VCYT,Veracyte Inc,Rebecca Chambers,CFO,Sell,7000,41.0,287000,126158.0,2025-11-05,STK,Yes,1
VCYT,Veracyte Inc,Karin Eastham,N/A,Sell,9674,40.0239,387191,13554.0,2025-11-05,STK,Yes,1
VCYT,Veracyte Inc,Annie Mcguire,Gen Cou,Sell,6466,40.0,258640,82973.0,2025-11-05,STK,Yes,1
KLAC,K L A-Tencor Corp,Jason Conley,N/A,Award,204,0.0,250000,204.0,2025-11-05,STK,Yes,1
KLAC,K L A-Tencor Corp,Tracy A Embree,N/A,Award,204,0.0,250000,204.0,2025-11-05,STK,Yes,1
CHTR,Charter Communications Inc,David C Merritt,N/A,Sell,1200,226.18,271416,10146.0,2025-11-05,STK,Yes,1
RPRX,Royalty Pharma Plc Cl A,Pablo Legorreta,Chair & CEO,Award,36559,0.0,1477715,4545330.0,2025-11-05,STK,Yes,1
AON,AON Plc,Darren Zeidel,Gen Cou & Sec,Sell,8800,344.5248,3031819,20253.0,2025-11-05,STK,Yes,1
THRY,Thryv Holdings Inc,John Slater,Lead Indpdt. Dir,Buy,1500,7.0673,10601,35370.0,2025-11-05,STK,Yes,1
VENU,Venu Holding Corp,Kevin Wayne O'neil,N/A,Sell,476190,13.44,6399994,3640467.0,2025-11-05,STK,Yes,1
KLAC,K L A-Tencor Corp,Jamie Samath,N/A,Award,204,0.0,250000,378.0,2025-11-05,STK,Yes,1
KLAC,K L A-Tencor Corp,Jeneanne Michelle Hanley,N/A,Award,204,0.0,250000,4101.0,2025-11-05,STK,Yes,1
KLAC,K L A-Tencor Corp,Kevin J Kennedy,N/A,Award,204,0.0,250000,8036.0,2025-11-05,STK,Yes,1
KLAC,K L A-Tencor Corp,Victor Peng,N/A,Award,204,0.0,250000,5816.0,2025-11-05,STK,Yes,1
KLAC,K L A-Tencor Corp,Susan Jennifer Simone Taylor,N/A,Award,204,0.0,250000,370.0,2025-11-05,STK,Yes,1
KLAC,K L A-Tencor Corp,Michael R Mcmullen,N/A,Award,204,0.0,250000,1179.0,2025-11-05,STK,Yes,1
KLAC,K L A-Tencor Corp,Robert M. Calderoni,Chair,Award,257,0.0,314998,15220.0,2025-11-05,STK,Yes,1
TER,Teradyne Inc,Mercedes Johnson,N/A,Sell,625,177.05,110656,11364.0,2025-11-05,STK,Yes,1
VIR,Vir Biotechnology Inc,Vanina De Verneuil,Gen Cou,Sell,2385,5.16,12307,78210.0,2025-11-05,STK,Yes,1
ALNT,Allient Inc,Richard D Federico,Lead Indpdt. Dir,Award,513,0.0,27450,76130.0,2025-11-05,STK,Yes,1
ALNT,Allient Inc,Robert B Engel,N/A,Award,443,0.0,23706,36363.0,2025-11-05,STK,Yes,1
ALNT,Allient Inc,Steven C Finch,N/A,Award,443,0.0,23706,12631.0,2025-11-05,STK,Yes,1
ALNT,Allient Inc,Nicole R Tzetzo,N/A,Award,443,0.0,23706,14458.0,2025-11-05,STK,Yes,1
ALNT,Allient Inc,Michael R Winter,N/A,Award,443,0.0,23706,39814.0,2025-11-05,STK,Yes,1
CXDO,Crexendo Inc,Jeffrey G Korn,Chair & CEO,Sell,9581,7.1401,68409,240398.0,2025-11-05,STK,Yes,1
CXDO,Crexendo Inc,Ron Vincent,CFO,Sell,14597,7.05,102909,175809.0,2025-11-05,STK,Yes,1
AGRI,Agriforce Growing Systems Ltd,Amy Griffith,N/A,Award,30612,0.0,85713,51709.0,2025-11-05,STK,No,1
MSM,Msc Industrial Direct Company,Erik Gershwind,CEO,Award,771,0.0,66806,2132845.0,2025-11-05,STK,Yes,1
VKQ,Invesco Muni Trust,Timothy M O'reilly,Port Mngr,Buy,5200,9.618,50014,10747.0,2025-11-05,UIT,No,11
CCNE,Cnb Financial Corp,Michael D Peduzzi,CEO,Buy,1100,24.63,27093,46043.0,2025-11-05,STK,Yes,1
FMC,FMC Corp,Carol  (John) Anthony Davidson,N/A,Buy,10000,13.5957,135957,23227.0,2025-11-05,STK,Yes,1
NXPI,Nxp Semiconductors,Andrew Hardy,Chf Sales Off.,Award,742,0.0,156146,2865.0,2025-11-05,STK,Yes,1
NXPI,Nxp Semiconductors,Christopher L Jensen,HR,Award,1335,0.0,280937,8000.0,2025-11-05,STK,Yes,1
NXPI,Nxp Semiconductors,Jennifer B Wuamett,Gen Cou & Sec,Award,1335,0.0,280937,19984.0,2025-11-05,STK,Yes,1
NXPI,Nxp Semiconductors,Bill Betz,CFO,Award,1558,0.0,327865,3997.0,2025-11-05,STK,Yes,1
